,time,city,site,aqi,level,primarypollutant,pm25,pm10,co,no2,ozone1hour,ozone8hour,so2
0,2018-03-25 12:00:00,上海,虹口,78,良,细颗粒物(PM2.5),57,81,0.7,50,132,84,9
1,2018-03-25 13:00:00,上海,虹口,68,良,细颗粒物(PM2.5),49,74,0.6,40,155,94,9
2,2018-03-25 14:00:00,上海,虹口,69,良,颗粒物(PM10),44,87,0.7,44,157,106,8
3,2018-03-25 15:00:00,上海,虹口,67,良,颗粒物(PM10),47,83,0.6,40,167,122,9
4,2018-03-25 16:00:00,上海,虹口,73,良,颗粒物(PM10),50,95,0.6,44,171,135,10
5,2018-03-25 17:00:00,上海,虹口,74,良,细颗粒物(PM2.5),54,94,0.6,43,172,145,9
6,2018-03-25 18:00:00,上海,虹口,72,良,颗粒物(PM10)细颗粒物(PM2.5),52,93,0.7,48,170,154,9
7,2018-03-25 19:00:00,上海,虹口,73,良,细颗粒物(PM2.5),53,85,0.7,62,141,158,9
8,2018-03-25 20:00:00,上海,虹口,73,良,细颗粒物(PM2.5),53,91,0.8,76,108,155,9
9,2018-03-25 21:00:00,上海,虹口,78,良,颗粒物(PM10),56,105,0.8,86,82,146,8
10,2018-03-25 22:00:00,上海,虹口,102,轻度污染,细颗粒物(PM2.5),76,108,0.9,94,53,133,8
11,2018-03-25 23:00:00,上海,虹口,104,轻度污染,细颗粒物(PM2.5),78,108,0.7,64,78,122,9
12,2018-03-26 00:00:00,上海,虹口,87,良,细颗粒物(PM2.5),64,108,0.6,50,88,112,10
13,2018-03-26 01:00:00,上海,虹口,73,良,细颗粒物(PM2.5),53,108,0.6,48,91,91,10
14,2018-03-26 02:00:00,上海,虹口,68,良,细颗粒物(PM2.5),49,108,0.5,42,94,92,10
15,2018-03-26 03:00:00,上海,虹口,69,良,细颗粒物(PM2.5),50,52,0.6,44,85,90,9
16,2018-03-26 04:00:00,上海,虹口,72,良,细颗粒物(PM2.5),52,52,0.6,42,85,89,10
17,2018-03-26 05:00:00,上海,虹口,73,良,细颗粒物(PM2.5),53,53,0.6,48,73,86,10
18,2018-03-26 06:00:00,上海,虹口,82,良,细颗粒物(PM2.5),60,53,0.6,61,65,82,11
19,2018-03-26 07:00:00,上海,虹口,78,良,细颗粒物(PM2.5),57,63,0.7,78,55,78,12
20,2018-03-26 08:00:00,上海,虹口,85,良,细颗粒物(PM2.5),63,81,0.8,92,40,74,18
21,2018-03-26 09:00:00,上海,虹口,98,良,细颗粒物(PM2.5),73,96,0.9,96,43,68,33
22,2018-03-26 10:00:00,上海,虹口,94,良,细颗粒物(PM2.5),70,86,0.9,76,74,65,20
23,2018-03-26 11:00:00,上海,虹口,84,良,细颗粒物(PM2.5),62,73,0.8,66,94,66,10
24,2018-03-26 12:00:00,上海,虹口,74,良,细颗粒物(PM2.5),54,67,0.7,54,124,71,8
25,2018-03-26 13:00:00,上海,虹口,64,良,细颗粒物(PM2.5),46,55,0.6,50,135,79,7
26,2018-03-26 14:00:00,上海,虹口,64,良,细颗粒物(PM2.5),46,57,0.6,45,152,90,6
27,2018-03-26 15:00:00,上海,虹口,64,良,颗粒物(PM10),45,78,0.6,52,138,100,6
28,2018-03-26 16:00:00,上海,虹口,66,良,颗粒物(PM10),46,82,0.6,76,105,108,7
29,2018-03-26 17:00:00,上海,虹口,53,良,细颗粒物(PM2.5),37,82,0.6,63,107,116,7
30,2018-03-26 18:00:00,上海,虹口,43,优,细颗粒物(PM2.5),30,39,0.6,61,97,119,6
31,2018-03-26 19:00:00,上海,虹口,48,优,细颗粒物(PM2.5),27,48,0.6,65,89,118,18
32,2018-03-26 20:00:00,上海,虹口,54,良,颗粒物(PM10),27,57,0.6,68,81,113,31
33,2018-03-26 21:00:00,上海,虹口,60,良,颗粒物(PM10),39,69,0.7,75,70,105,18
34,2018-03-26 22:00:00,上海,虹口,74,良,细颗粒物(PM2.5),54,74,0.7,80,61,94,8
35,2018-03-26 23:00:00,上海,虹口,90,良,细颗粒物(PM2.5),67,74,0.7,74,59,84,8
36,2018-03-27 00:00:00,上海,虹口,90,良,细颗粒物(PM2.5),67,74,0.7,70,55,77,7
37,2018-03-27 01:00:00,上海,虹口,94,良,细颗粒物(PM2.5),70,74,0.7,72,42,42,7
38,2018-03-27 02:00:00,上海,虹口,103,轻度污染,细颗粒物(PM2.5),77,74,0.8,76,28,35,14
39,2018-03-27 03:00:00,上海,虹口,97,良,细颗粒物(PM2.5),72,74,0.8,66,30,33,9
40,2018-03-27 04:00:00,上海,虹口,87,良,细颗粒物(PM2.5),64,74,0.6,61,34,34,13
41,2018-03-27 05:00:00,上海,虹口,89,良,细颗粒物(PM2.5),66,74,0.6,57,33,33,22
42,2018-03-27 06:00:00,上海,虹口,92,良,细颗粒物(PM2.5),68,74,0.7,53,41,35,11
43,2018-03-27 07:00:00,上海,虹口,88,良,细颗粒物(PM2.5),65,74,0.8,67,40,35,11
44,2018-03-27 08:00:00,上海,虹口,90,良,细颗粒物(PM2.5),67,74,0.8,73,40,36,14
45,2018-03-27 09:00:00,上海,虹口,97,良,细颗粒物(PM2.5),72,74,0.8,75,51,37,13
46,2018-03-27 10:00:00,上海,虹口,94,良,细颗粒物(PM2.5),70,74,0.7,70,76,43,11
47,2018-03-27 12:00:00,上海,虹口,60,良,细颗粒物(PM2.5),43,74,0.5,45,122,63,7
48,2018-03-27 13:00:00,上海,虹口,43,优,细颗粒物(PM2.5),28,38,0.5,37,137,76,7
49,2018-03-27 14:00:00,上海,虹口,48,优,细颗粒物(PM2.5),31,48,0.5,38,151,90,6
50,2018-03-27 15:00:00,上海,虹口,53,良,颗粒物(PM10),34,55,0.5,43,158,104,7
51,2018-03-27 16:00:00,上海,虹口,54,良,颗粒物(PM10)细颗粒物(PM2.5),38,58,0.5,44,154,119,8
52,2018-03-27 17:00:00,上海,虹口,54,良,颗粒物(PM10),31,58,0.5,42,143,130,6
53,2018-03-27 18:00:00,上海,虹口,53,良,颗粒物(PM10),30,55,0.5,46,129,137,5
54,2018-03-27 19:00:00,上海,虹口,50,优,颗粒物(PM10),27,50,0.5,63,89,135,4
55,2018-03-27 20:00:00,上海,虹口,58,良,颗粒物(PM10),33,66,0.6,72,74,129,6
