,time,city,site,aqi,level,primarypollutant,pm25,pm10,co,no2,ozone1hour,ozone8hour,so2
0,2018-03-25 12:00:00,上海,静安监测站,80,良,细颗粒物(PM2.5),59,79,0.7,37,148,107,14
1,2018-03-25 13:00:00,上海,静安监测站,78,良,细颗粒物(PM2.5),57,76,0.8,35,155,114,13
2,2018-03-25 14:00:00,上海,静安监测站,72,良,细颗粒物(PM2.5),52,82,0.7,35,164,122,13
3,2018-03-25 15:00:00,上海,静安监测站,77,良,细颗粒物(PM2.5),56,90,0.8,38,165,131,15
4,2018-03-25 16:00:00,上海,静安监测站,89,良,细颗粒物(PM2.5),66,94,0.8,39,167,142,15
5,2018-03-25 17:00:00,上海,静安监测站,82,良,细颗粒物(PM2.5),60,94,0.8,42,165,150,21
6,2018-03-25 18:00:00,上海,静安监测站,82,良,细颗粒物(PM2.5),60,98,0.8,45,164,156,19
7,2018-03-25 19:00:00,上海,静安监测站,78,良,细颗粒物(PM2.5),57,92,0.9,57,134,158,14
8,2018-03-25 20:00:00,上海,静安监测站,78,良,细颗粒物(PM2.5),57,99,0.8,56,123,155,14
9,2018-03-25 21:00:00,上海,静安监测站,87,良,细颗粒物(PM2.5),64,99,0.8,58,108,149,14
10,2018-03-25 22:00:00,上海,静安监测站,98,良,细颗粒物(PM2.5),73,84,0.8,53,99,141,14
11,2018-03-25 23:00:00,上海,静安监测站,95,良,细颗粒物(PM2.5),71,82,0.8,58,82,130,15
12,2018-03-26 00:00:00,上海,静安监测站,99,良,细颗粒物(PM2.5),74,82,0.7,50,85,120,15
13,2018-03-26 01:00:00,上海,静安监测站,92,良,细颗粒物(PM2.5),68,82,0.7,42,93,93,15
14,2018-03-26 02:00:00,上海,静安监测站,80,良,细颗粒物(PM2.5),59,82,0.7,37,99,96,15
15,2018-03-26 03:00:00,上海,静安监测站,78,良,细颗粒物(PM2.5),57,82,0.6,36,99,97,15
16,2018-03-26 04:00:00,上海,静安监测站,84,良,细颗粒物(PM2.5),62,82,0.7,39,89,95,15
17,2018-03-26 05:00:00,上海,静安监测站,92,良,细颗粒物(PM2.5),68,82,0.7,39,87,93,15
18,2018-03-26 06:00:00,上海,静安监测站,90,良,细颗粒物(PM2.5),67,82,0.7,47,81,91,15
19,2018-03-26 07:00:00,上海,静安监测站,98,良,细颗粒物(PM2.5),73,82,0.8,67,63,87,29
20,2018-03-26 08:00:00,上海,静安监测站,104,轻度污染,细颗粒物(PM2.5),78,86,0.9,86,45,82,44
21,2018-03-26 09:00:00,上海,静安监测站,104,轻度污染,细颗粒物(PM2.5),78,98,1.1,85,50,77,40
22,2018-03-26 10:00:00,上海,静安监测站,108,轻度污染,细颗粒物(PM2.5),81,94,1.1,73,73,73,18
23,2018-03-26 11:00:00,上海,静安监测站,93,良,细颗粒物(PM2.5),69,94,0.8,56,104,74,13
24,2018-03-26 12:00:00,上海,静安监测站,75,良,细颗粒物(PM2.5),55,94,0.8,41,130,79,12
25,2018-03-26 13:00:00,上海,静安监测站,73,良,细颗粒物(PM2.5),53,54,0.8,43,139,86,12
26,2018-03-26 14:00:00,上海,静安监测站,69,良,细颗粒物(PM2.5),50,61,0.7,40,143,93,11
27,2018-03-26 15:00:00,上海,静安监测站,62,良,细颗粒物(PM2.5),44,48,0.7,41,138,103,10
28,2018-03-26 16:00:00,上海,静安监测站,57,良,细颗粒物(PM2.5),40,49,0.7,42,144,115,10
29,2018-03-26 17:00:00,上海,静安监测站,55,良,颗粒物(PM10),36,60,0.7,48,121,124,22
30,2018-03-26 18:00:00,上海,静安监测站,51,良,颗粒物(PM10),30,51,0.7,46,113,129,29
31,2018-03-26 19:00:00,上海,静安监测站,52,良,颗粒物(PM10),26,53,0.7,54,101,129,17
32,2018-03-26 20:00:00,上海,静安监测站,61,良,颗粒物(PM10),30,71,0.8,63,89,124,12
33,2018-03-26 21:00:00,上海,静安监测站,68,良,细颗粒物(PM2.5),49,82,0.9,67,78,116,50
34,2018-03-26 22:00:00,上海,静安监测站,100,良,细颗粒物(PM2.5),75,82,0.9,66,74,107,63
35,2018-03-26 23:00:00,上海,静安监测站,104,轻度污染,细颗粒物(PM2.5),78,82,0.8,67,67,98,45
36,2018-03-27 00:00:00,上海,静安监测站,93,良,细颗粒物(PM2.5),69,75,0.9,64,61,88,58
37,2018-03-27 01:00:00,上海,静安监测站,107,轻度污染,细颗粒物(PM2.5),80,75,1.0,71,45,45,47
38,2018-03-27 02:00:00,上海,静安监测站,112,轻度污染,细颗粒物(PM2.5),84,75,1.0,72,36,40,24
39,2018-03-27 03:00:00,上海,静安监测站,109,轻度污染,细颗粒物(PM2.5),82,75,1.3,77,25,35,32
40,2018-03-27 04:00:00,上海,静安监测站,109,轻度污染,细颗粒物(PM2.5),82,75,1.0,64,33,35,22
41,2018-03-27 05:00:00,上海,静安监测站,105,轻度污染,细颗粒物(PM2.5),79,75,1.0,66,29,34,22
42,2018-03-27 06:00:00,上海,静安监测站,110,轻度污染,细颗粒物(PM2.5),83,75,1.0,62,32,33,32
43,2018-03-27 07:00:00,上海,静安监测站,107,轻度污染,细颗粒物(PM2.5),80,75,0.9,65,38,34,33
44,2018-03-27 08:00:00,上海,静安监测站,110,轻度污染,细颗粒物(PM2.5),83,83,1.0,74,36,34,82
45,2018-03-27 09:00:00,上海,静安监测站,114,轻度污染,细颗粒物(PM2.5),86,83,1.1,70,53,35,48
46,2018-03-27 10:00:00,上海,静安监测站,102,轻度污染,细颗粒物(PM2.5),76,83,1.0,56,95,43,48
47,2018-03-27 12:00:00,上海,静安监测站,62,良,细颗粒物(PM2.5),44,44,0.7,41,121,58,16
48,2018-03-27 13:00:00,上海,静安监测站,57,良,细颗粒物(PM2.5),40,46,0.6,40,128,72,14
49,2018-03-27 14:00:00,上海,静安监测站,50,优,细颗粒物(PM2.5),35,50,0.6,37,144,88,16
50,2018-03-27 15:00:00,上海,静安监测站,54,良,细颗粒物(PM2.5),38,54,0.6,42,142,103,17
51,2018-03-27 16:00:00,上海,静安监测站,57,良,细颗粒物(PM2.5),40,54,0.6,39,140,118,15
52,2018-03-27 17:00:00,上海,静安监测站,54,良,细颗粒物(PM2.5),38,51,0.7,43,131,129,15
53,2018-03-27 18:00:00,上海,静安监测站,51,良,颗粒物(PM10),34,51,0.7,42,115,132,11
54,2018-03-27 19:00:00,上海,静安监测站,49,优,颗粒物(PM10),32,49,0.7,45,96,127,10
55,2018-03-27 20:00:00,上海,静安监测站,58,良,颗粒物(PM10),37,66,0.7,58,92,124,12
56,2018-03-27 21:00:00,上海,静安监测站,74,良,细颗粒物(PM2.5),54,82,0.7,61,77,117,14
57,2018-03-27 22:00:00,上海,静安监测站,82,良,细颗粒物(PM2.5),60,65,0.7,50,81,109,12
58,2018-03-27 23:00:00,上海,静安监测站,79,良,细颗粒物(PM2.5),58,63,0.7,55,71,100,12
59,2018-03-28 00:00:00,上海,静安监测站,85,良,细颗粒物(PM2.5),63,63,0.7,55,66,91,12
60,2018-03-28 01:00:00,上海,静安监测站,87,良,细颗粒物(PM2.5),64,63,0.7,52,65,65,12
61,2018-03-28 02:00:00,上海,静安监测站,79,良,细颗粒物(PM2.5),58,63,0.6,42,78,72,11
62,2018-03-28 03:00:00,上海,静安监测站,70,良,细颗粒物(PM2.5),51,63,0.6,34,81,75,10
63,2018-03-28 04:00:00,上海,静安监测站,69,良,细颗粒物(PM2.5),50,63,0.6,30,90,78,10
64,2018-03-28 05:00:00,上海,静安监测站,70,良,细颗粒物(PM2.5),51,63,0.6,30,77,78,10
65,2018-03-28 06:00:00,上海,静安监测站,69,良,细颗粒物(PM2.5),50,63,0.7,36,74,78,11
66,2018-03-28 07:00:00,上海,静安监测站,74,良,细颗粒物(PM2.5),54,63,0.8,45,66,76,12
67,2018-03-28 08:00:00,上海,静安监测站,73,良,细颗粒物(PM2.5),53,57,0.9,58,58,74,16
68,2018-03-28 09:00:00,上海,静安监测站,78,良,细颗粒物(PM2.5),57,73,0.9,62,59,73,20
69,2018-03-28 10:00:00,上海,静安监测站,82,良,细颗粒物(PM2.5),60,75,0.9,62,70,72,22
70,2018-03-28 11:00:00,上海,静安监测站,77,良,细颗粒物(PM2.5),56,72,0.9,66,88,73,30
71,2018-03-28 12:00:00,上海,静安监测站,75,良,细颗粒物(PM2.5),55,73,0.9,66,108,75,26
72,2018-03-28 14:00:00,上海,静安监测站,67,良,臭氧1小时,44,50,0.7,39,173,95,12
73,2018-03-28 15:00:00,上海,静安监测站,97,良,臭氧1小时,43,63,0.7,40,197,111,12
74,2018-03-28 16:00:00,上海,静安监测站,60,良,臭氧1小时,39,68,0.7,43,168,125,16
75,2018-03-28 18:00:00,上海,静安监测站,56,良,颗粒物(PM10),39,62,0.6,46,154,148,11
76,2018-03-28 19:00:00,上海,静安监测站,61,良,颗粒物(PM10),23,71,0.7,56,135,154,10
77,2018-03-28 20:00:00,上海,静安监测站,64,良,颗粒物(PM10),34,78,0.8,73,93,152,11
78,2018-03-28 21:00:00,上海,静安监测站,64,良,颗粒物(PM10),40,78,0.8,84,63,143,11
79,2018-03-28 22:00:00,上海,静安监测站,57,良,细颗粒物(PM2.5),40,59,0.7,80,50,128,12
80,2018-03-28 23:00:00,上海,静安监测站,48,优,细颗粒物(PM2.5),33,46,0.7,57,59,110,11
81,2018-03-29 00:00:00,上海,静安监测站,43,优,细颗粒物(PM2.5),30,38,0.6,40,65,97,10
82,2018-03-29 01:00:00,上海,静安监测站,39,优,细颗粒物(PM2.5),27,35,0.5,31,68,68,10
83,2018-03-29 02:00:00,上海,静安监测站,35,优,细颗粒物(PM2.5),23,35,0.5,28,67,68,10
84,2018-03-29 03:00:00,上海,静安监测站,36,优,细颗粒物(PM2.5),25,34,0.5,28,62,66,10
85,2018-03-29 04:00:00,上海,静安监测站,38,优,细颗粒物(PM2.5),26,38,0.5,26,60,64,10
86,2018-03-29 05:00:00,上海,静安监测站,38,优,细颗粒物(PM2.5),23,38,0.5,26,59,63,10
87,2018-03-29 06:00:00,上海,静安监测站,40,优,细颗粒物(PM2.5),21,40,0.5,34,50,61,10
88,2018-03-29 07:00:00,上海,静安监测站,41,优,细颗粒物(PM2.5),23,41,0.6,44,43,58,10
89,2018-03-29 08:00:00,上海,静安监测站,50,优,细颗粒物(PM2.5),24,50,0.6,50,42,56,10
90,2018-03-29 09:00:00,上海,静安监测站,55,良,颗粒物(PM10),28,60,0.7,50,49,54,11
91,2018-03-29 10:00:00,上海,静安监测站,54,良,颗粒物(PM10),26,58,0.7,46,63,54,11
92,2018-03-29 11:00:00,上海,静安监测站,55,良,颗粒物(PM10),29,59,0.7,49,73,55,10
