,time,city,site,aqi,level,primarypollutant,pm25,pm10,co,no2,ozone1hour,ozone8hour,so2
0,2016-12-15 13:00:00,上海,浦东张江,115,轻度污染,细颗粒物(PM2.5),87,104,1.0,43,62,42,38
1,2016-12-15 14:00:00,上海,浦东张江,125,轻度污染,细颗粒物(PM2.5),95,98,1.0,39,71,46,34
2,2016-12-15 15:00:00,上海,浦东张江,120,轻度污染,细颗粒物(PM2.5),91,98,0.9,38,74,52,31
3,2016-12-15 16:00:00,上海,浦东张江,102,轻度污染,细颗粒物(PM2.5),76,98,0.7,32,77,59,25
4,2016-12-15 17:00:00,上海,浦东张江,94,良,细颗粒物(PM2.5),70,72,0.7,42,65,63,23
5,2016-12-15 18:00:00,上海,浦东张江,66,良,颗粒物(PM10),38,81,0.7,54,51,64,23
6,2016-12-15 19:00:00,上海,浦东张江,108,轻度污染,细颗粒物(PM2.5),81,89,0.8,78,26,60,28
7,2016-12-15 20:00:00,上海,浦东张江,109,轻度污染,细颗粒物(PM2.5),82,96,0.9,78,25,56,33
8,2016-12-15 21:00:00,上海,浦东张江,117,轻度污染,细颗粒物(PM2.5),88,105,0.9,85,16,51,30
9,2016-12-15 22:00:00,上海,浦东张江,124,轻度污染,细颗粒物(PM2.5),94,104,1.1,79,21,44,31
10,2016-12-15 23:00:00,上海,浦东张江,118,轻度污染,细颗粒物(PM2.5),89,99,1.2,82,16,37,34
11,2016-12-16 00:00:00,上海,浦东张江,115,轻度污染,细颗粒物(PM2.5),87,101,1.3,86,12,29,34
12,2016-12-16 01:00:00,上海,浦东张江,119,轻度污染,细颗粒物(PM2.5),90,107,1.2,87,10,10,37
13,2016-12-16 02:00:00,上海,浦东张江,134,轻度污染,细颗粒物(PM2.5),102,121,1.3,78,16,13,43
14,2016-12-16 03:00:00,上海,浦东张江,160,中度污染,细颗粒物(PM2.5),122,135,1.2,65,27,18,45
15,2016-12-16 04:00:00,上海,浦东张江,180,中度污染,细颗粒物(PM2.5),136,147,1.2,52,40,23,45
16,2016-12-16 05:00:00,上海,浦东张江,201,重度污染,细颗粒物(PM2.5),151,156,1.2,44,46,28,43
17,2016-12-16 06:00:00,上海,浦东张江,202,重度污染,细颗粒物(PM2.5),152,161,1.4,52,34,29,43
18,2016-12-16 07:00:00,上海,浦东张江,208,重度污染,细颗粒物(PM2.5),158,160,1.6,74,13,27,43
19,2016-12-16 08:00:00,上海,浦东张江,202,重度污染,细颗粒物(PM2.5),152,172,2.0,82,11,25,43
20,2016-12-16 09:00:00,上海,浦东张江,214,重度污染,细颗粒物(PM2.5),164,190,1.9,72,21,26,48
21,2016-12-16 10:00:00,上海,浦东张江,208,重度污染,细颗粒物(PM2.5),158,164,1.7,58,38,29,50
22,2016-12-16 11:00:00,上海,浦东张江,198,中度污染,细颗粒物(PM2.5),148,152,1.5,53,55,32,46
23,2016-12-16 12:00:00,上海,浦东张江,188,中度污染,细颗粒物(PM2.5),141,152,1.2,38,86,38,43
24,2016-12-16 13:00:00,上海,浦东张江,170,中度污染,细颗粒物(PM2.5),129,131,1.4,47,89,43,46
25,2016-12-16 14:00:00,上海,浦东张江,156,中度污染,细颗粒物(PM2.5),119,125,1.2,47,95,51,40
26,2016-12-16 15:00:00,上海,浦东张江,155,中度污染,细颗粒物(PM2.5),118,129,1.2,54,93,61,40
27,2016-12-16 21:00:00,上海,浦东张江,198,中度污染,细颗粒物(PM2.5),148,207,1.8,148,6,65,37
28,2016-12-17 00:00:00,上海,浦东张江,239,重度污染,细颗粒物(PM2.5),189,232,1.7,136,5,6,36
29,2016-12-17 11:00:00,上海,浦东张江,215,重度污染,细颗粒物(PM2.5),165,232,1.2,68,61,15,33
30,2016-12-17 12:00:00,上海,浦东张江,166,中度污染,细颗粒物(PM2.5),126,232,0.7,26,96,26,21
31,2016-12-17 13:00:00,上海,浦东张江,88,良,细颗粒物(PM2.5),65,232,0.6,21,98,38,19
32,2016-12-17 14:00:00,上海,浦东张江,74,良,细颗粒物(PM2.5),54,232,0.7,24,101,50,17
33,2016-12-17 15:00:00,上海,浦东张江,57,良,细颗粒物(PM2.5),40,232,0.6,22,102,62,14
34,2016-12-17 16:00:00,上海,浦东张江,54,良,细颗粒物(PM2.5),38,232,0.6,32,102,74,14
35,2016-12-17 17:00:00,上海,浦东张江,69,良,细颗粒物(PM2.5),50,232,0.7,49,83,83,14
36,2016-12-17 18:00:00,上海,浦东张江,84,良,细颗粒物(PM2.5),62,73,0.8,72,49,86,14
