,time,city,site,aqi,level,primarypollutant,pm25,pm10,co,no2,ozone1hour,ozone8hour,so2
0,2018-03-08 00:00:00,上海,普陀,27,优,颗粒物(PM10),16,27,0.7,36,75,72,10
1,2018-03-08 01:00:00,上海,普陀,30,优,颗粒物(PM10),21,30,0.6,29,79,79,8
2,2018-03-08 02:00:00,上海,普陀,29,优,颗粒物(PM10),16,26,0.4,18,90,84,7
3,2018-03-08 03:00:00,上海,普陀,30,优,颗粒物(PM10),18,20,0.3,15,96,88,7
4,2018-03-08 04:00:00,上海,普陀,33,优,颗粒物(PM10),17,20,0.2,12,103,92,6
5,2018-03-08 05:00:00,上海,普陀,31,优,颗粒物(PM10),8,21,0.2,14,99,93,7
6,2018-03-08 06:00:00,上海,普陀,28,优,颗粒物(PM10),14,25,0.2,23,87,92,7
7,2018-03-08 07:00:00,上海,普陀,29,优,颗粒物(PM10),16,29,0.3,29,84,91,6
8,2018-03-08 08:00:00,上海,普陀,43,优,颗粒物(PM10),30,32,0.4,38,75,89,7
9,2018-03-08 09:00:00,上海,普陀,42,优,颗粒物(PM10),24,42,0.4,35,78,89,7
10,2018-03-08 10:00:00,上海,普陀,47,优,颗粒物(PM10),31,47,0.4,30,87,89,7
11,2018-03-08 11:00:00,上海,普陀,52,良,颗粒物(PM10),30,54,0.4,26,100,89,8
12,2018-03-08 13:00:00,上海,普陀,63,良,颗粒物(PM10),35,76,0.5,33,99,90,10
13,2018-03-08 15:00:00,上海,普陀,74,良,颗粒物(PM10)细颗粒物(PM2.5),54,97,0.6,34,88,92,8
14,2018-03-08 20:00:00,上海,普陀,128,轻度污染,细颗粒物(PM2.5),97,100,0.8,36,79,83,8
15,2018-03-08 21:00:00,上海,普陀,113,轻度污染,细颗粒物(PM2.5),85,100,0.7,32,84,82,8
16,2018-03-08 22:00:00,上海,普陀,99,良,细颗粒物(PM2.5),74,80,0.7,28,93,81,8
17,2018-03-08 23:00:00,上海,普陀,97,良,细颗粒物(PM2.5),72,77,0.7,27,99,82,8
18,2018-03-09 00:00:00,上海,普陀,95,良,细颗粒物(PM2.5),71,77,0.7,24,102,86,9
19,2018-03-09 01:00:00,上海,普陀,84,良,细颗粒物(PM2.5),62,77,0.6,21,102,102,9
20,2018-03-09 02:00:00,上海,普陀,84,良,细颗粒物(PM2.5),62,62,0.6,23,93,98,8
21,2018-03-09 03:00:00,上海,普陀,77,良,细颗粒物(PM2.5),56,65,0.5,27,83,93,8
22,2018-03-09 04:00:00,上海,普陀,73,良,细颗粒物(PM2.5),53,59,0.5,31,74,88,10
23,2018-03-09 05:00:00,上海,普陀,68,良,细颗粒物(PM2.5),49,54,0.5,33,68,84,10
