,time,city,site,aqi,level,primarypollutant,pm25,pm10,co,no2,ozone1hour,ozone8hour,so2
0,2017-07-05 14:00:00,上海,青浦淀山湖,111,轻度污染,臭氧1小时,39,42,0.7,8,222,116,10
1,2017-07-05 15:00:00,上海,青浦淀山湖,106,轻度污染,臭氧1小时,43,49,0.6,7,212,141,9
2,2017-07-05 16:00:00,上海,青浦淀山湖,101,轻度污染,臭氧1小时,43,43,0.6,6,202,164,8
3,2017-07-05 17:00:00,上海,青浦淀山湖,101,轻度污染,臭氧1小时,43,48,0.6,15,201,181,7
4,2017-07-05 18:00:00,上海,青浦淀山湖,68,良,细颗粒物(PM2.5),49,58,0.6,27,159,188,7
5,2017-07-05 19:00:00,上海,青浦淀山湖,54,良,细颗粒物(PM2.5),38,38,0.5,12,102,178,4
6,2017-07-05 20:00:00,上海,青浦淀山湖,50,优,细颗粒物(PM2.5),35,38,0.5,30,65,166,4
7,2017-07-05 21:00:00,上海,青浦淀山湖,43,优,细颗粒物(PM2.5),30,38,0.5,29,62,153,5
8,2017-07-05 22:00:00,上海,青浦淀山湖,29,优,细颗粒物(PM2.5),20,38,0.5,11,68,134,4
9,2017-07-05 23:00:00,上海,青浦淀山湖,19,优,细颗粒物(PM2.5),13,14,0.5,18,45,113,4
10,2017-07-06 00:00:00,上海,青浦淀山湖,16,优,细颗粒物(PM2.5),11,14,0.5,22,40,93,5
11,2017-07-06 01:00:00,上海,青浦淀山湖,19,优,细颗粒物(PM2.5),13,14,0.6,24,31,31,4
12,2017-07-06 02:00:00,上海,青浦淀山湖,18,优,细颗粒物(PM2.5),12,14,0.5,22,28,30,4
13,2017-07-06 03:00:00,上海,青浦淀山湖,22,优,细颗粒物(PM2.5),15,15,0.6,27,20,26,6
14,2017-07-06 04:00:00,上海,青浦淀山湖,23,优,细颗粒物(PM2.5),16,19,0.6,33,11,22,6
15,2017-07-06 05:00:00,上海,青浦淀山湖,23,优,细颗粒物(PM2.5),16,20,0.6,35,8,20,6
16,2017-07-06 06:00:00,上海,青浦淀山湖,26,优,细颗粒物(PM2.5),18,21,0.7,34,6,17,7
17,2017-07-06 07:00:00,上海,青浦淀山湖,32,优,细颗粒物(PM2.5),22,25,0.7,31,11,16,9
18,2017-07-06 08:00:00,上海,青浦淀山湖,32,优,细颗粒物(PM2.5),22,28,0.7,27,19,17,9
19,2017-07-06 09:00:00,上海,青浦淀山湖,39,优,细颗粒物(PM2.5),27,36,0.7,25,35,17,11
20,2017-07-06 10:00:00,上海,青浦淀山湖,42,优,细颗粒物(PM2.5),29,38,0.7,18,71,23,12
21,2017-07-06 11:00:00,上海,青浦淀山湖,45,优,细颗粒物(PM2.5),31,43,0.7,14,120,35,10
22,2017-07-06 12:00:00,上海,青浦淀山湖,52,良,颗粒物(PM10)细颗粒物(PM2.5),36,53,0.7,14,155,53,10
23,2017-07-06 13:00:00,上海,青浦淀山湖,87,良,臭氧1小时,40,57,0.7,12,189,76,11
24,2017-07-06 14:00:00,上海,青浦淀山湖,105,轻度污染,臭氧1小时,49,74,0.7,11,210,101,10
