,time,city,site,aqi,level,primarypollutant,pm25,pm10,co,no2,ozone1hour,ozone8hour,so2
0,2018-03-25 12:00:00,上海,十五厂,85,良,细颗粒物(PM2.5),63,89,0.7,35,140,79,11
1,2018-03-25 13:00:00,上海,十五厂,77,良,细颗粒物(PM2.5),56,77,0.7,37,143,89,10
2,2018-03-25 14:00:00,上海,十五厂,79,良,细颗粒物(PM2.5),58,85,0.7,38,152,101,11
3,2018-03-25 15:00:00,上海,十五厂,85,良,细颗粒物(PM2.5),63,94,0.7,39,158,115,11
4,2018-03-25 16:00:00,上海,十五厂,89,良,细颗粒物(PM2.5),66,95,0.7,40,160,130,11
5,2018-03-25 17:00:00,上海,十五厂,84,良,细颗粒物(PM2.5),62,98,0.7,47,152,140,10
6,2018-03-25 18:00:00,上海,十五厂,85,良,细颗粒物(PM2.5),63,100,0.7,61,136,144,10
7,2018-03-25 19:00:00,上海,十五厂,79,良,细颗粒物(PM2.5),58,101,0.6,70,108,144,10
8,2018-03-25 20:00:00,上海,十五厂,89,良,细颗粒物(PM2.5),66,104,0.6,80,87,137,10
9,2018-03-25 21:00:00,上海,十五厂,97,良,细颗粒物(PM2.5),72,108,0.7,89,68,128,10
10,2018-03-25 22:00:00,上海,十五厂,107,轻度污染,细颗粒物(PM2.5),80,115,0.8,102,37,113,9
11,2018-03-25 23:00:00,上海,十五厂,134,轻度污染,细颗粒物(PM2.5),102,121,0.6,86,41,99,9
12,2018-03-26 00:00:00,上海,十五厂,113,轻度污染,细颗粒物(PM2.5),85,121,0.4,48,78,88,10
13,2018-03-26 01:00:00,上海,十五厂,88,良,细颗粒物(PM2.5),65,121,0.4,43,83,83,10
14,2018-03-26 02:00:00,上海,十五厂,83,良,细颗粒物(PM2.5),61,121,0.4,40,84,84,10
15,2018-03-26 03:00:00,上海,十五厂,87,良,细颗粒物(PM2.5),64,121,0.4,50,62,76,10
16,2018-03-26 04:00:00,上海,十五厂,102,轻度污染,细颗粒物(PM2.5),76,121,0.4,49,60,72,9
17,2018-03-26 05:00:00,上海,十五厂,105,轻度污染,细颗粒物(PM2.5),79,121,0.4,50,59,70,10
18,2018-03-26 06:00:00,上海,十五厂,108,轻度污染,细颗粒物(PM2.5),81,121,0.5,64,42,65,10
19,2018-03-26 07:00:00,上海,十五厂,110,轻度污染,细颗粒物(PM2.5),83,121,0.5,83,34,61,11
20,2018-03-26 08:00:00,上海,十五厂,104,轻度污染,细颗粒物(PM2.5),78,121,0.7,93,31,57,13
21,2018-03-26 09:00:00,上海,十五厂,109,轻度污染,细颗粒物(PM2.5),82,102,0.7,82,42,52,45
22,2018-03-26 10:00:00,上海,十五厂,117,轻度污染,细颗粒物(PM2.5),88,124,0.8,87,48,47,28
23,2018-03-26 11:00:00,上海,十五厂,113,轻度污染,细颗粒物(PM2.5),85,121,0.7,81,70,48,16
24,2018-03-26 12:00:00,上海,十五厂,89,良,细颗粒物(PM2.5),66,86,0.5,52,122,56,11
25,2018-03-26 13:00:00,上海,十五厂,75,良,细颗粒物(PM2.5),55,61,0.4,42,133,65,10
26,2018-03-26 14:00:00,上海,十五厂,77,良,细颗粒物(PM2.5),56,61,0.4,38,138,77,9
27,2018-03-26 15:00:00,上海,十五厂,65,良,细颗粒物(PM2.5),47,54,0.4,44,129,89,15
28,2018-03-26 16:00:00,上海,十五厂,62,良,细颗粒物(PM2.5),44,54,0.4,42,130,102,18
29,2018-03-26 17:00:00,上海,十五厂,51,良,颗粒物(PM10),34,51,0.4,41,111,110,8
30,2018-03-26 18:00:00,上海,十五厂,43,优,颗粒物(PM10),27,43,0.3,41,106,117,7
31,2018-03-26 19:00:00,上海,十五厂,39,优,颗粒物(PM10),27,39,0.3,45,101,121,7
32,2018-03-26 20:00:00,上海,十五厂,54,良,颗粒物(PM10),33,57,0.4,56,87,117,8
33,2018-03-26 21:00:00,上海,十五厂,78,良,细颗粒物(PM2.5),57,77,0.5,76,67,109,8
34,2018-03-26 22:00:00,上海,十五厂,108,轻度污染,细颗粒物(PM2.5),81,88,0.7,76,59,99,8
35,2018-03-26 23:00:00,上海,十五厂,115,轻度污染,细颗粒物(PM2.5),87,88,0.6,64,62,90,8
36,2018-03-27 00:00:00,上海,十五厂,123,轻度污染,细颗粒物(PM2.5),93,88,0.6,71,45,80,8
37,2018-03-27 01:00:00,上海,十五厂,122,轻度污染,细颗粒物(PM2.5),92,88,0.6,96,15,15,8
38,2018-03-27 02:00:00,上海,十五厂,120,轻度污染,细颗粒物(PM2.5),91,88,0.6,88,14,14,8
39,2018-03-27 03:00:00,上海,十五厂,119,轻度污染,细颗粒物(PM2.5),90,88,0.5,73,19,16,8
40,2018-03-27 04:00:00,上海,十五厂,119,轻度污染,细颗粒物(PM2.5),90,88,0.5,68,19,17,8
41,2018-03-27 05:00:00,上海,十五厂,115,轻度污染,细颗粒物(PM2.5),87,88,0.5,64,19,17,8
42,2018-03-27 06:00:00,上海,十五厂,114,轻度污染,细颗粒物(PM2.5),86,88,0.5,64,22,18,9
43,2018-03-27 07:00:00,上海,十五厂,118,轻度污染,细颗粒物(PM2.5),89,88,0.5,80,17,18,10
44,2018-03-27 08:00:00,上海,十五厂,115,轻度污染,细颗粒物(PM2.5),87,88,0.7,75,26,19,13
45,2018-03-27 09:00:00,上海,十五厂,119,轻度污染,细颗粒物(PM2.5),90,88,0.7,74,40,22,14
46,2018-03-27 10:00:00,上海,十五厂,103,轻度污染,细颗粒物(PM2.5),77,88,0.6,56,71,29,12
47,2018-03-27 12:00:00,上海,十五厂,74,良,细颗粒物(PM2.5),54,88,0.4,33,114,49,10
48,2018-03-27 13:00:00,上海,十五厂,59,良,细颗粒物(PM2.5),42,88,0.4,30,136,64,9
49,2018-03-27 14:00:00,上海,十五厂,58,良,细颗粒物(PM2.5),41,88,0.4,29,143,79,9
50,2018-03-27 15:00:00,上海,十五厂,52,良,细颗粒物(PM2.5),36,38,0.3,27,147,95,9
51,2018-03-27 16:00:00,上海,十五厂,54,良,细颗粒物(PM2.5),38,48,0.3,32,138,109,9
52,2018-03-27 17:00:00,上海,十五厂,53,良,细颗粒物(PM2.5),37,49,0.4,39,127,120,8
53,2018-03-27 18:00:00,上海,十五厂,56,良,颗粒物(PM10),38,61,0.4,42,106,124,8
54,2018-03-27 19:00:00,上海,十五厂,55,良,颗粒物(PM10),38,60,0.4,49,88,125,7
