,time,city,site,aqi,level,primarypollutant,pm25,pm10,co,no2,ozone1hour,ozone8hour,so2
0,2017-09-06 14:00:00,上海,徐汇上师大,98,良,臭氧1小时,70,134,1.3,50,198,92,11
1,2017-09-06 15:00:00,上海,徐汇上师大,124,轻度污染,臭氧1小时,78,125,1.3,50,248,116,11
2,2017-09-06 16:00:00,上海,徐汇上师大,116,轻度污染,臭氧1小时,79,129,1.3,36,231,138,12
3,2017-09-06 17:00:00,上海,徐汇上师大,115,轻度污染,细颗粒物(PM2.5),87,141,1.3,48,149,150,13
4,2017-09-06 18:00:00,上海,徐汇上师大,115,轻度污染,细颗粒物(PM2.5),87,129,1.3,52,149,163,11
5,2017-09-06 19:00:00,上海,徐汇上师大,95,良,细颗粒物(PM2.5),71,89,1.6,50,149,173,11
6,2017-09-06 20:00:00,上海,徐汇上师大,95,良,细颗粒物(PM2.5),71,87,1.5,57,52,168,12
7,2017-09-06 21:00:00,上海,徐汇上师大,117,轻度污染,细颗粒物(PM2.5),88,96,1.2,38,60,156,11
8,2017-09-06 22:00:00,上海,徐汇上师大,122,轻度污染,细颗粒物(PM2.5),92,104,1.2,41,48,131,10
9,2017-09-06 23:00:00,上海,徐汇上师大,117,轻度污染,细颗粒物(PM2.5),88,104,1.1,33,52,99,8
10,2017-09-07 00:00:00,上海,徐汇上师大,98,良,细颗粒物(PM2.5),73,104,1.1,38,42,67,8
11,2017-09-07 01:00:00,上海,徐汇上师大,83,良,细颗粒物(PM2.5),61,104,1.3,33,45,45,7
12,2017-09-07 02:00:00,上海,徐汇上师大,84,良,细颗粒物(PM2.5),62,104,1.3,33,40,42,7
13,2017-09-07 03:00:00,上海,徐汇上师大,80,良,细颗粒物(PM2.5),59,104,1.1,23,43,43,7
14,2017-09-07 04:00:00,上海,徐汇上师大,68,良,细颗粒物(PM2.5),49,104,1.0,20,45,43,7
15,2017-09-07 05:00:00,上海,徐汇上师大,46,优,细颗粒物(PM2.5),32,104,0.8,21,56,46,7
16,2017-09-07 06:00:00,上海,徐汇上师大,39,优,细颗粒物(PM2.5),27,104,0.7,11,74,50,6
17,2017-09-07 07:00:00,上海,徐汇上师大,29,优,细颗粒物(PM2.5),20,104,0.8,17,76,54,7
18,2017-09-07 08:00:00,上海,徐汇上师大,23,优,细颗粒物(PM2.5),16,22,1.0,31,76,54,7
19,2017-09-07 09:00:00,上海,徐汇上师大,26,优,细颗粒物(PM2.5),15,26,1.0,31,76,56,7
20,2017-09-07 12:00:00,上海,徐汇上师大,29,优,细颗粒物(PM2.5),8,14,0.8,20,92,77,6
21,2017-09-07 13:00:00,上海,徐汇上师大,27,优,细颗粒物(PM2.5),7,13,0.8,26,85,82,6
22,2017-09-07 14:00:00,上海,徐汇上师大,25,优,细颗粒物(PM2.5),7,11,0.9,32,79,82,6
23,2017-09-07 15:00:00,上海,徐汇上师大,26,优,细颗粒物(PM2.5),12,11,0.9,31,83,84,6
24,2017-09-07 16:00:00,上海,徐汇上师大,22,优,细颗粒物(PM2.5),11,17,0.9,43,70,82,6
25,2017-09-07 17:00:00,上海,徐汇上师大,24,优,细颗粒物(PM2.5),13,24,1.0,43,52,78,6
26,2017-09-07 19:00:00,上海,徐汇上师大,46,优,细颗粒物(PM2.5),16,24,0.9,91,52,70,6
27,2017-09-07 20:00:00,上海,徐汇上师大,30,优,细颗粒物(PM2.5),21,25,0.9,59,52,66,6
28,2017-09-07 21:00:00,上海,徐汇上师大,22,优,细颗粒物(PM2.5),15,17,0.8,42,39,58,6
29,2017-09-07 22:00:00,上海,徐汇上师大,19,优,细颗粒物(PM2.5),13,15,0.8,35,42,52,6
30,2017-09-07 23:00:00,上海,徐汇上师大,20,优,细颗粒物(PM2.5),14,16,0.8,36,42,45,6
31,2017-09-08 00:00:00,上海,徐汇上师大,19,优,细颗粒物(PM2.5),12,19,0.8,33,41,40,7
32,2017-09-08 01:00:00,上海,徐汇上师大,22,优,细颗粒物(PM2.5),14,22,0.8,32,41,41,6
33,2017-09-08 02:00:00,上海,徐汇上师大,22,优,细颗粒物(PM2.5),15,18,0.7,32,41,41,7
34,2017-09-08 03:00:00,上海,徐汇上师大,19,优,细颗粒物(PM2.5),13,16,0.7,28,40,41,7
35,2017-09-08 04:00:00,上海,徐汇上师大,25,优,细颗粒物(PM2.5),17,16,0.8,30,35,39,7
36,2017-09-08 05:00:00,上海,徐汇上师大,28,优,细颗粒物(PM2.5),19,19,0.8,38,28,37,7
37,2017-09-08 06:00:00,上海,徐汇上师大,28,优,细颗粒物(PM2.5),19,19,0.7,37,32,36,8
38,2017-09-08 07:00:00,上海,徐汇上师大,20,优,细颗粒物(PM2.5),14,15,0.8,37,37,36,7
39,2017-09-08 08:00:00,上海,徐汇上师大,20,优,细颗粒物(PM2.5),13,20,0.8,38,41,37,8
40,2017-09-09 17:00:00,上海,徐汇上师大,40,优,细颗粒物(PM2.5),28,33,0.9,22,71,65,7
41,2017-09-09 18:00:00,上海,徐汇上师大,42,优,细颗粒物(PM2.5),29,32,0.8,22,68,66,7
42,2017-09-09 19:00:00,上海,徐汇上师大,39,优,细颗粒物(PM2.5),27,35,0.9,27,92,70,7
43,2017-09-09 20:00:00,上海,徐汇上师大,42,优,细颗粒物(PM2.5),29,40,0.9,22,93,74,7
44,2017-09-09 21:00:00,上海,徐汇上师大,42,优,细颗粒物(PM2.5),29,42,0.9,24,88,77,7
45,2017-09-09 22:00:00,上海,徐汇上师大,43,优,细颗粒物(PM2.5),30,38,0.9,22,90,80,7
46,2017-09-09 23:00:00,上海,徐汇上师大,50,优,细颗粒物(PM2.5),35,36,0.9,21,89,83,7
47,2017-09-10 00:00:00,上海,徐汇上师大,52,良,细颗粒物(PM2.5),36,36,0.9,19,86,85,8
48,2017-09-10 01:00:00,上海,徐汇上师大,49,优,细颗粒物(PM2.5),34,39,0.9,22,76,76,9
49,2017-09-10 02:00:00,上海,徐汇上师大,49,优,细颗粒物(PM2.5),34,37,0.9,21,75,76,9
50,2017-09-10 03:00:00,上海,徐汇上师大,50,优,细颗粒物(PM2.5),35,37,0.8,20,76,76,9
51,2017-09-10 04:00:00,上海,徐汇上师大,40,优,细颗粒物(PM2.5),28,37,0.8,17,83,78,8
52,2017-09-10 05:00:00,上海,徐汇上师大,35,优,细颗粒物(PM2.5),24,33,0.8,15,82,78,8
53,2017-09-10 06:00:00,上海,徐汇上师大,41,优,细颗粒物(PM2.5),27,41,0.9,17,74,78,8
54,2017-09-10 07:00:00,上海,徐汇上师大,45,优,细颗粒物(PM2.5),31,44,0.9,26,60,75,8
55,2017-09-10 08:00:00,上海,徐汇上师大,51,良,颗粒物(PM10),34,51,0.9,35,49,72,7
56,2017-09-10 09:00:00,上海,徐汇上师大,55,良,颗粒物(PM10),38,60,0.9,31,51,69,7
57,2017-09-10 10:00:00,上海,徐汇上师大,53,良,颗粒物(PM10)细颗粒物(PM2.5),37,55,0.9,19,70,68,6
58,2017-09-10 11:00:00,上海,徐汇上师大,45,优,颗粒物(PM10)细颗粒物(PM2.5),31,43,0.9,21,86,69,6
59,2017-09-10 12:00:00,上海,徐汇上师大,40,优,颗粒物(PM10)细颗粒物(PM2.5),28,39,0.8,10,113,73,6
60,2017-09-10 14:00:00,上海,徐汇上师大,45,优,颗粒物(PM10)细颗粒物(PM2.5),28,29,0.8,12,143,82,7
61,2017-09-10 16:00:00,上海,徐汇上师大,44,优,颗粒物(PM10)细颗粒物(PM2.5),29,38,0.8,16,139,107,7
62,2017-09-10 17:00:00,上海,徐汇上师大,41,优,颗粒物(PM10)细颗粒物(PM2.5),27,39,0.8,18,130,118,8
63,2017-09-10 18:00:00,上海,徐汇上师大,40,优,颗粒物(PM10)细颗粒物(PM2.5),25,40,0.8,19,121,126,7
64,2017-09-10 19:00:00,上海,徐汇上师大,45,优,颗粒物(PM10)细颗粒物(PM2.5),22,45,0.7,19,95,127,7
65,2017-09-10 20:00:00,上海,徐汇上师大,49,优,颗粒物(PM10)细颗粒物(PM2.5),23,49,0.8,27,74,121,6
66,2017-09-10 22:00:00,上海,徐汇上师大,30,优,颗粒物(PM10)细颗粒物(PM2.5),21,49,0.9,35,61,110,7
67,2017-09-10 23:00:00,上海,徐汇上师大,44,优,颗粒物(PM10)细颗粒物(PM2.5),23,44,1.1,51,37,94,7
68,2017-09-11 00:00:00,上海,徐汇上师大,63,良,颗粒物(PM10),31,76,0.9,33,38,79,6
69,2017-09-11 01:00:00,上海,徐汇上师大,51,良,颗粒物(PM10),31,52,0.9,43,30,30,7
70,2017-09-11 02:00:00,上海,徐汇上师大,43,优,颗粒物(PM10),30,42,0.9,34,41,36,7
71,2017-09-11 03:00:00,上海,徐汇上师大,36,优,颗粒物(PM10),25,30,0.9,34,35,35,7
72,2017-09-11 04:00:00,上海,徐汇上师大,43,优,颗粒物(PM10),30,30,0.9,43,23,32,7
73,2017-09-11 05:00:00,上海,徐汇上师大,50,优,颗粒物(PM10),35,30,1.0,45,17,29,8
74,2017-09-11 06:00:00,上海,徐汇上师大,49,优,颗粒物(PM10),34,37,1.1,39,20,28,8
75,2017-09-11 07:00:00,上海,徐汇上师大,42,优,颗粒物(PM10),29,37,1.2,27,35,29,8
76,2017-09-11 08:00:00,上海,徐汇上师大,39,优,颗粒物(PM10),27,37,1.3,25,48,31,7
77,2017-09-11 09:00:00,上海,徐汇上师大,42,优,颗粒物(PM10),29,37,1.4,32,42,33,7
78,2017-09-11 10:00:00,上海,徐汇上师大,43,优,颗粒物(PM10),30,37,1.5,29,51,34,7
79,2017-09-11 11:00:00,上海,徐汇上师大,32,优,颗粒物(PM10),22,32,1.5,29,47,35,7
80,2017-09-11 12:00:00,上海,徐汇上师大,36,优,颗粒物(PM10),25,34,1.4,29,42,38,7
81,2017-09-11 14:00:00,上海,徐汇上师大,50,优,颗粒物(PM10),35,34,1.3,39,46,44,7
82,2017-09-11 15:00:00,上海,徐汇上师大,62,良,细颗粒物(PM2.5),44,44,1.4,49,37,45,7
83,2017-09-11 16:00:00,上海,徐汇上师大,59,良,细颗粒物(PM2.5),42,44,1.2,43,38,43,7
84,2017-09-11 17:00:00,上海,徐汇上师大,32,优,细颗粒物(PM2.5),22,44,1.1,35,55,45,7
85,2017-09-11 18:00:00,上海,徐汇上师大,25,优,细颗粒物(PM2.5),11,44,0.9,23,79,48,7
86,2017-09-11 19:00:00,上海,徐汇上师大,24,优,细颗粒物(PM2.5),8,44,0.9,28,76,52,7
87,2017-09-11 20:00:00,上海,徐汇上师大,24,优,细颗粒物(PM2.5),9,13,0.9,28,76,56,6
88,2017-09-11 21:00:00,上海,徐汇上师大,24,优,细颗粒物(PM2.5),10,11,1.0,30,74,60,6
89,2017-09-11 22:00:00,上海,徐汇上师大,22,优,细颗粒物(PM2.5),15,11,1.1,40,58,62,7
90,2017-09-11 23:00:00,上海,徐汇上师大,29,优,细颗粒物(PM2.5),20,22,1.0,27,69,66,7
91,2017-09-12 00:00:00,上海,徐汇上师大,26,优,细颗粒物(PM2.5),18,25,0.9,28,64,69,8
