,time,city,site,aqi,level,primarypollutant,pm25,pm10,co,no2,ozone1hour,ozone8hour,so2
0,2018-03-01 13:00:00,上海,杨浦四漂,137,轻度污染,细颗粒物(PM2.5),104,,1.0,30,107,41,18
1,2018-03-01 14:00:00,上海,杨浦四漂,100,良,细颗粒物(PM2.5),75,109,1.0,28,114,55,16
2,2018-03-01 15:00:00,上海,杨浦四漂,107,轻度污染,细颗粒物(PM2.5),80,116,1.0,25,119,71,15
3,2018-03-01 17:00:00,上海,杨浦四漂,133,轻度污染,细颗粒物(PM2.5),101,127,1.2,33,114,101,12
4,2018-03-01 18:00:00,上海,杨浦四漂,98,良,细颗粒物(PM2.5),73,102,1.0,28,113,112,12
5,2018-03-01 19:00:00,上海,杨浦四漂,89,良,细颗粒物(PM2.5),66,93,0.8,28,106,111,11
6,2018-03-01 20:00:00,上海,杨浦四漂,59,良,颗粒物(PM10),40,67,0.6,27,101,112,11
7,2018-03-01 21:00:00,上海,杨浦四漂,52,良,颗粒物(PM10),28,53,0.5,23,100,111,11
8,2018-03-01 22:00:00,上海,杨浦四漂,52,良,颗粒物(PM10),19,53,0.5,24,98,109,11
9,2018-03-01 23:00:00,上海,杨浦四漂,52,良,颗粒物(PM10),17,53,0.4,29,91,106,11
10,2018-03-02 00:00:00,上海,杨浦四漂,50,优,颗粒物(PM10),26,50,0.4,33,87,101,11
11,2018-03-02 01:00:00,上海,杨浦四漂,47,优,颗粒物(PM10),23,47,0.4,26,91,91,13
12,2018-03-02 02:00:00,上海,杨浦四漂,46,优,颗粒物(PM10),21,46,0.4,38,76,84,14
13,2018-03-02 03:00:00,上海,杨浦四漂,45,优,颗粒物(PM10),17,45,0.4,26,87,85,12
14,2018-03-02 04:00:00,上海,杨浦四漂,43,优,颗粒物(PM10),17,43,0.4,21,92,86,11
15,2018-03-02 05:00:00,上海,杨浦四漂,47,优,颗粒物(PM10),24,47,0.4,30,83,86,11
16,2018-03-02 06:00:00,上海,杨浦四漂,39,优,颗粒物(PM10),27,39,0.4,17,95,87,10
17,2018-03-02 07:00:00,上海,杨浦四漂,37,优,颗粒物(PM10),18,37,0.4,27,88,87,10
18,2018-03-02 08:00:00,上海,杨浦四漂,37,优,颗粒物(PM10),16,37,0.4,35,77,86,11
19,2018-03-02 09:00:00,上海,杨浦四漂,36,优,颗粒物(PM10),18,36,0.5,34,79,85,12
20,2018-03-02 10:00:00,上海,杨浦四漂,37,优,颗粒物(PM10),20,37,0.5,35,77,85,11
21,2018-03-02 11:00:00,上海,杨浦四漂,40,优,颗粒物(PM10),19,40,0.4,42,70,83,12
22,2018-03-02 14:00:00,上海,杨浦四漂,42,优,颗粒物(PM10),16,42,0.5,27,86,79,11
23,2018-03-02 15:00:00,上海,杨浦四漂,42,优,颗粒物(PM10),21,42,0.5,29,84,78,11
24,2018-03-02 16:00:00,上海,杨浦四漂,48,优,颗粒物(PM10),27,48,0.4,29,83,79,10
25,2018-03-02 17:00:00,上海,杨浦四漂,44,优,颗粒物(PM10),24,44,0.4,25,87,80,10
26,2018-03-02 18:00:00,上海,杨浦四漂,38,优,颗粒物(PM10),26,35,0.5,28,82,81,10
27,2018-03-02 19:00:00,上海,杨浦四漂,38,优,颗粒物(PM10),26,37,0.5,33,77,82,10
28,2018-03-02 20:00:00,上海,杨浦四漂,41,优,颗粒物(PM10),21,41,0.5,35,75,82,10
29,2018-03-02 21:00:00,上海,杨浦四漂,42,优,颗粒物(PM10),22,42,0.4,30,79,82,10
30,2018-03-02 22:00:00,上海,杨浦四漂,39,优,颗粒物(PM10),27,39,0.4,30,78,81,11
